loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defectd
575,13,0.23,2.9,5,41,10,5,0.7,104,8,10,159,14,40,281,33,54,120,79,20,1
151,11,0.15,5.8,7,69,10,4,0.9,136,13,5,244,34,52,231,17,49,105,70,5,1
670,47,0.33,4.6,3,85,7,2,0.6,71,15,9,174,12,62,430,32,33,136,49,18,1
355,12,0.33,5.5,4,96,5,2,0.7,62,6,10,351,13,99,164,28,51,136,72,8,1
968,18,0.13,2.7,3,60,8,3,0.9,104,9,9,168,32,71,143,23,48,70,41,20,1
224,33,0.12,3.3,7,112,8,3,0.9,118,14,9,263,23,91,349,26,28,128,56,10,1
567,32,0.22,3.6,3,45,9,4,0.5,118,5,5,132,22,99,241,28,57,147,82,13,1
236,47,0.4,5,2,64,5,3,0.5,96,5,9,275,13,91,352,26,52,61,90,10,1
920,11,0.4,2.2,6,80,4,5,0.7,126,11,10,234,11,41,460,24,31,149,59,18,1
575,50,0.47,4.6,4,76,10,5,0.8,140,11,8,275,33,87,116,19,52,114,92,7,1
783,31,0.13,2.2,7,30,5,4,0.6,132,11,6,249,31,73,122,25,29,110,46,18,1
643,34,0.39,2,6,32,6,4,0.9,54,8,7,194,35,40,441,19,26,84,61,8,1
672,16,0.47,5.1,7,58,6,3,0.6,45,7,9,80,24,88,243,35,33,125,87,16,1
709,37,0.45,5.2,7,103,8,3,0.9,87,7,5,124,13,79,420,28,38,146,83,15,1
424,32,0.32,3.1,3,62,8,3,0.6,99,10,6,394,21,95,313,31,56,132,55,20,1
873,32,0.46,4.7,6,111,7,2,0.8,81,13,7,176,22,67,437,20,57,66,68,9,1
553,36,0.36,3.8,4,77,7,5,0.9,73,6,8,355,43,70,193,15,30,81,88,8,1
727,32,0.14,3.4,6,76,6,5,0.9,128,11,5,232,30,50,239,19,55,101,90,8,1
934,13,0.26,4.5,6,95,10,2,0.5,118,5,7,211,12,36,426,18,57,60,89,19,1
836,25,0.47,4.1,6,116,4,4,0.5,109,7,10,93,47,99,220,32,28,137,47,10,1
616,25,0.22,4.9,5,67,10,3,0.5,143,7,6,236,47,51,413,28,26,147,80,14,1
536,25,0.45,3,3,79,6,3,0.9,49,8,5,308,18,92,195,22,47,114,93,6,1
950,29,0.14,3.7,4,66,4,2,1,54,12,10,311,46,93,450,15,36,84,42,19,1
661,47,0.23,4,7,112,5,4,0.6,49,12,6,262,10,21,398,33,33,134,42,19,1
556,15,0.4,2.2,6,50,10,5,0.8,136,14,7,125,14,63,353,33,51,73,70,11,1
262,14,0.15,5.6,5,37,4,2,0.8,108,15,5,264,10,95,358,15,47,143,99,6,1
861,29,0.14,5.3,3,42,6,4,0.7,41,14,6,166,31,87,351,27,40,120,64,10,1
982,17,0.48,4.7,5,94,4,3,0.9,118,9,10,240,47,28,426,26,53,106,59,13,1
586,31,0.1,3.8,3,43,5,2,0.9,111,10,5,291,37,37,437,30,42,149,69,17,1
560,20,0.46,2.3,6,112,6,3,0.7,51,5,7,276,39,29,341,27,51,100,60,14,1
365,11,0.12,5.5,6,106,10,4,0.6,92,10,5,172,44,34,470,19,33,104,94,7,1
869,44,0.42,3.3,3,32,9,5,0.5,95,9,9,360,45,57,392,20,42,81,84,11,1
353,30,0.26,3,3,47,7,5,0.9,144,14,9,344,13,96,196,23,45,126,89,8,1
960,12,0.14,3.1,7,57,6,5,0.5,127,10,5,241,37,36,399,21,33,83,73,15,1
752,39,0.16,2.2,7,51,4,3,0.9,41,7,10,158,19,43,163,17,38,123,89,8,1
383,37,0.48,4.2,4,30,8,2,0.6,132,7,7,263,30,55,188,24,59,77,72,11,1
884,46,0.46,2.6,7,42,9,3,0.6,139,7,9,192,21,39,337,29,28,141,52,10,1
896,42,0.2,2,5,78,9,4,0.8,109,9,10,103,46,99,168,27,40,150,58,8,1
633,36,0.23,2.9,7,74,7,2,0.8,112,15,6,170,15,99,435,28,52,102,54,19,1
596,27,0.17,4.6,7,43,6,4,0.6,110,14,5,125,42,86,390,30,56,109,63,18,1
741,11,0.47,2.7,2,106,9,3,0.9,123,13,7,288,38,31,398,15,31,115,94,19,1
344,40,0.38,5.2,3,96,7,5,1,117,15,5,326,38,30,366,34,41,83,45,11,1
381,47,0.14,2.7,7,100,8,3,0.8,53,11,8,179,23,92,226,27,50,88,68,14,1
550,11,0.42,5.1,4,107,8,5,1,131,12,5,352,26,100,483,25,54,134,82,9,1
179,30,0.29,5,2,30,7,3,1,55,14,5,81,20,54,215,35,45,60,62,5,1
830,34,0.39,4.7,6,81,9,3,0.9,59,15,10,235,19,57,301,33,54,100,58,19,1
392,46,0.15,2.3,3,32,9,2,0.5,105,9,5,310,13,30,153,30,57,78,58,15,1
340,34,0.4,5,6,106,5,5,0.8,54,7,9,290,23,41,263,26,31,88,87,13,1
378,30,0.43,3.5,6,44,8,4,0.7,78,7,5,311,40,85,317,32,42,77,47,8,1
443,46,0.37,2.5,5,92,7,4,0.9,101,5,7,322,41,57,335,22,60,129,67,9,1
427,16,0.2,5.1,7,74,10,3,0.7,52,10,7,357,12,79,213,26,38,112,92,10,1
653,41,0.26,3.6,5,34,6,3,1,74,15,5,205,25,41,437,31,52,89,45,19,1
182,16,0.37,3.7,3,88,6,5,0.7,70,13,6,391,19,20,489,28,39,148,98,11,1
241,23,0.45,2,7,73,7,3,0.9,110,10,6,108,46,74,408,30,51,67,79,13,1
254,31,0.33,4.1,6,45,7,4,0.7,126,14,7,123,32,38,334,30,31,78,41,6,1
336,41,0.39,4.7,6,104,4,5,0.6,77,7,9,337,15,22,387,20,54,144,59,6,1
492,42,0.44,4.7,4,50,5,5,0.8,44,12,10,186,40,56,354,33,36,120,43,18,1
810,31,0.3,4.6,5,79,6,5,0.8,53,12,5,350,10,41,385,30,35,135,65,10,1
256,20,0.2,4.8,4,89,4,3,0.6,140,10,8,224,40,65,323,22,55,112,56,17,0
823,49,0.27,6,6,90,5,2,0.7,51,6,7,223,36,31,152,15,54,75,50,15,0
319,29,0.35,5,4,111,6,5,0.9,83,8,6,109,38,81,274,33,40,102,40,12,0
165,33,0.26,4.4,4,75,9,4,0.9,144,5,5,196,39,57,494,28,33,75,79,10,0
524,37,0.43,3.9,3,32,5,4,0.9,120,15,7,399,32,54,120,24,36,68,43,5,0
517,22,0.22,4,7,65,9,3,0.5,76,14,10,108,46,54,110,23,58,103,87,20,0
438,41,0.15,4.8,5,81,10,5,0.6,43,15,9,129,33,68,499,34,28,80,87,6,0
655,50,0.49,4.6,3,42,8,5,0.7,127,8,9,106,41,50,416,18,50,67,40,15,0
577,14,0.26,3.7,6,80,10,4,0.8,138,15,10,182,39,74,153,29,53,121,42,9,0
525,44,0.33,2.7,6,112,9,4,0.7,65,12,8,400,10,86,372,18,33,106,88,6,0
163,23,0.21,2.2,3,50,10,5,0.9,65,8,6,231,29,95,167,23,43,128,40,14,0
311,28,0.35,3.4,4,114,9,2,0.9,83,7,6,394,43,42,260,34,27,61,44,8,0
952,26,0.46,2.3,7,48,5,4,0.8,118,14,10,106,25,53,302,27,59,111,48,7,0
530,13,0.38,4.8,5,116,6,5,0.5,94,12,6,175,20,59,144,17,26,112,48,11,0
498,29,0.2,2.4,7,111,10,3,0.7,147,7,5,171,16,62,183,31,48,107,56,12,0
888,46,0.34,2.2,4,95,10,2,0.8,114,14,10,248,33,40,370,25,34,95,80,17,0
698,35,0.1,3.9,3,110,4,3,0.8,47,6,5,250,50,72,164,23,27,78,68,10,0
812,24,0.15,2,7,66,4,5,0.9,47,9,10,386,37,83,411,16,53,100,64,15,0
120,49,0.34,2.5,3,55,7,4,0.8,98,5,6,108,22,84,282,25,59,88,87,12,0
977,15,0.4,3,6,107,6,2,0.8,45,7,8,287,18,91,267,24,31,72,57,16,0
883,47,0.38,4.2,2,116,10,4,0.9,82,15,9,114,25,93,282,28,31,139,53,6,0
689,16,0.33,5.5,6,85,7,4,0.5,80,7,6,349,38,64,132,33,32,86,52,7,0
489,47,0.43,2.1,7,74,10,3,0.7,66,11,9,364,25,63,178,18,47,64,68,6,0
588,31,0.33,4.6,6,84,5,3,0.9,42,13,8,322,49,48,154,17,37,100,47,20,0
106,27,0.49,4.1,5,98,8,5,0.9,119,5,5,151,14,86,465,31,38,127,72,13,0
460,14,0.2,4.4,7,111,9,5,0.7,94,13,5,144,21,48,303,32,26,94,54,6,0
405,46,0.38,2.4,5,101,9,5,0.9,57,6,8,189,35,49,401,22,37,147,99,11,0
871,43,0.19,2.9,5,111,8,2,0.7,133,9,6,261,37,59,401,20,47,62,44,14,0
499,40,0.2,2,3,93,7,2,0.9,102,11,7,199,19,43,492,35,52,142,77,5,0
973,37,0.12,3.5,3,51,7,5,0.9,97,8,9,104,34,40,130,22,37,124,41,11,0
955,23,0.13,5.1,5,31,10,4,0.7,50,10,7,194,50,63,433,29,32,102,64,11,0
529,32,0.26,5.5,3,48,7,2,0.5,110,10,6,193,48,50,489,25,47,62,72,7,0
651,14,0.49,4.3,4,30,6,4,0.6,93,5,9,290,12,42,308,23,44,93,84,20,0
865,29,0.21,2.3,3,62,7,5,0.7,114,11,10,326,40,27,337,24,55,71,80,19,0
852,42,0.15,3.1,3,101,10,2,0.6,106,15,5,376,20,54,223,31,36,119,41,5,0
659,29,0.1,4.6,4,92,5,2,0.8,92,11,5,360,34,28,330,23,41,85,75,16,0
919,37,0.18,3.4,2,40,9,4,0.9,108,11,5,205,22,82,151,16,33,100,71,9,0
717,44,0.14,5.7,5,33,10,4,0.6,65,15,6,167,17,88,411,25,52,127,81,5,0
325,30,0.38,3.7,7,59,4,4,0.5,47,15,8,340,13,85,326,31,43,119,63,10,0
599,22,0.27,3.9,3,79,7,2,1,54,10,5,370,50,31,288,28,28,114,100,18,0
324,36,0.24,4.5,2,116,10,2,0.6,96,9,5,130,37,21,244,25,34,94,63,19,0
379,35,0.28,3.4,2,73,7,5,0.7,103,5,10,278,42,66,290,26,55,105,69,10,0
546,26,0.16,3.6,5,59,9,4,0.7,94,12,7,293,17,43,449,35,51,136,53,16,0
597,49,0.36,2.5,5,66,4,2,0.8,62,14,5,121,30,58,301,30,36,96,45,15,0
129,42,0.15,2.7,3,92,10,5,0.9,91,6,10,146,29,93,415,26,59,149,97,13,0
498,39,0.25,3.7,3,78,5,5,0.8,46,8,8,276,26,20,352,21,56,126,54,13,0
444,45,0.49,2.3,4,67,8,2,0.8,118,15,7,347,28,54,326,20,55,101,70,9,0
784,21,0.25,3.8,2,41,5,2,0.9,126,12,8,135,27,47,438,30,49,77,74,16,0
795,11,0.31,4.9,2,62,5,4,0.9,72,5,7,136,27,94,352,19,38,107,62,10,0
917,50,0.21,5.2,4,67,7,2,0.7,133,10,8,352,32,57,114,25,45,136,67,16,0
514,43,0.37,4.8,7,48,7,2,0.6,119,12,10,173,19,81,406,32,39,75,51,6,0
841,21,0.44,4.7,3,120,10,5,0.5,58,15,10,237,50,96,223,30,57,95,59,10,0
269,46,0.16,4,2,90,9,2,0.5,131,6,8,374,22,92,381,33,35,99,97,12,0
960,41,0.26,5,4,44,7,5,1,101,6,5,178,38,88,183,26,29,148,81,19,0
578,23,0.18,5.4,5,117,7,3,0.8,126,8,6,157,50,41,128,30,50,103,54,18,0
230,39,0.37,3,7,104,6,5,0.5,79,7,9,361,37,90,468,34,38,129,66,13,0
737,27,0.48,3.4,3,86,6,2,0.7,87,12,8,188,29,91,167,19,48,61,88,10,0
646,50,0.2,2.4,4,67,10,2,0.6,71,15,5,161,35,68,122,15,36,133,52,13,0
127,44,0.3,5,7,73,4,3,0.8,100,15,5,248,45,88,478,23,48,90,40,16,0
503,49,0.21,5.1,4,57,4,5,0.9,116,7,5,244,24,59,333,26,55,141,59,11,0
706,37,0.12,3.5,3,38,10,3,0.7,87,8,8,313,16,64,148,20,34,132,69,14,0
677,46,0.1,5.1,5,67,9,2,0.6,136,10,8,229,45,82,383,19,26,123,81,8,0
778,50,0.29,4.2,3,76,9,4,0.9,122,11,10,230,47,84,487,20,38,104,86,11,0
127,13,0.12,5.8,5,104,8,5,0.8,91,11,7,237,41,80,172,30,38,128,74,13,0
185,43,0.46,3.5,3,77,6,3,0.7,119,7,8,251,17,54,276,35,56,105,45,7,0
758,22,0.12,4,6,75,5,4,0.7,145,15,6,294,19,42,221,29,47,87,58,6,0
538,33,0.28,3.8,6,31,8,3,0.8,93,10,7,377,32,100,243,34,30,140,48,7,0
238,39,0.22,2.8,5,101,7,2,0.5,110,12,5,201,16,95,277,23,44,60,91,19,0
987,19,0.27,5.4,3,36,4,5,0.6,61,13,10,269,35,89,385,31,31,122,54,8,0
572,25,0.45,4.1,3,36,9,2,0.6,90,8,6,354,33,22,404,29,28,103,59,13,0
286,19,0.16,5,3,48,10,4,0.6,143,7,8,195,37,34,391,25,27,62,62,9,0
151,29,0.21,5.3,4,110,10,2,0.8,128,6,5,271,32,52,231,33,55,85,84,12,0
366,37,0.27,2.2,5,109,4,2,0.7,47,11,10,208,24,90,467,31,32,101,86,12,0
488,36,0.11,4.9,2,32,8,5,0.9,130,13,9,119,29,32,348,34,35,125,97,20,0
435,30,0.41,2.9,4,84,5,5,0.8,91,9,7,110,26,45,442,23,42,100,91,16,0
316,14,0.31,4.6,4,104,9,5,0.5,117,9,5,181,26,80,416,24,34,106,78,10,0
565,50,0.33,4.9,4,74,4,2,0.8,58,10,8,164,12,39,345,20,32,73,45,18,0
434,23,0.24,5.8,4,69,4,4,1,111,11,5,303,47,99,375,28,25,61,55,13,0
445,36,0.36,4.7,4,90,5,4,0.9,145,10,7,316,19,46,459,27,29,143,96,20,0
879,27,0.28,5.8,7,55,9,3,1,138,10,10,363,23,39,202,23,45,79,92,5,0
1000,28,0.38,3.2,2,70,6,4,0.5,42,7,10,361,10,92,318,20,27,143,42,8,0
488,20,0.21,5.1,7,84,4,3,0.9,79,5,10,312,17,25,103,25,43,127,97,19,0
384,26,0.29,5.5,7,62,8,5,0.6,55,6,9,387,24,25,361,19,44,130,68,20,0
870,48,0.26,2.7,4,47,9,3,0.6,97,8,10,296,20,81,192,18,55,134,62,20,0
951,25,0.16,3.7,3,87,5,2,1,118,8,10,295,41,37,498,23,51,127,64,6,0
531,35,0.19,4.9,4,118,6,4,0.9,120,7,7,140,10,33,275,26,52,147,50,18,0
358,25,0.46,2,4,47,9,5,0.9,87,5,7,143,42,46,292,35,47,88,79,20,0
954,17,0.11,5.8,3,105,10,2,1,111,10,8,201,47,76,105,23,54,123,42,19,0
183,19,0.19,2.4,2,62,8,2,0.6,108,12,5,81,50,85,110,17,28,82,95,16,0
581,22,0.29,5.2,2,56,5,3,0.7,126,8,5,130,23,83,428,21,40,118,76,12,0
119,11,0.19,3.7,2,82,7,3,0.7,133,12,9,208,12,24,494,33,45,103,55,7,0
867,25,0.48,2.4,5,110,9,3,0.5,67,6,5,225,12,44,307,23,60,121,98,7,0
652,29,0.3,3.2,4,41,9,5,0.6,45,14,5,233,38,35,444,32,60,85,67,5,0
153,39,0.47,4.5,4,34,4,2,0.9,70,9,9,228,15,45,181,33,45,83,79,8,0
458,41,0.14,2.4,6,108,7,2,1,68,5,7,138,28,97,100,27,33,104,83,12,0
329,45,0.39,2.7,4,33,5,5,0.6,83,7,8,104,19,84,134,31,36,80,87,17,0
765,37,0.31,4,4,102,9,3,0.8,46,5,7,237,28,35,117,31,47,91,81,8,0
170,37,0.38,2.5,6,96,9,3,1,43,12,5,367,29,71,236,19,29,93,81,12,0
899,12,0.21,3.6,4,50,5,4,1,67,6,6,293,39,83,495,34,34,82,46,9,0
767,22,0.36,4.1,5,63,10,5,0.8,96,7,6,351,35,48,301,35,60,133,73,12,0
141,20,0.42,3.7,7,71,4,4,0.9,89,12,5,397,16,53,296,24,45,140,98,7,0
872,27,0.4,5.5,4,37,5,3,0.7,90,12,8,90,39,51,207,22,27,117,50,5,0
131,18,0.11,3.7,3,112,4,2,0.8,45,12,8,298,39,64,335,28,44,131,78,10,0
353,11,0.33,3.9,2,96,9,3,0.8,44,6,10,193,11,30,404,18,52,143,45,14,0
304,26,0.45,5.4,7,44,4,3,1,63,14,6,314,26,91,397,16,48,75,60,6,0
959,27,0.2,3.6,6,63,7,2,0.6,145,6,8,283,30,25,150,28,25,121,56,9,0
120,45,0.21,3.5,6,120,7,3,0.8,106,5,10,282,44,57,484,22,33,101,65,5,0
736,21,0.42,5.9,7,85,7,4,1,80,6,5,115,36,54,444,29,34,105,82,20,0
256,12,0.4,3.5,4,115,6,2,0.9,81,11,7,215,33,86,292,25,27,62,77,12,0
344,41,0.37,4,3,68,7,4,0.6,47,9,8,210,49,83,457,31,60,92,68,6,0
229,11,0.32,3.9,7,86,9,5,0.7,66,15,9,351,50,53,291,30,53,115,78,17,0
584,13,0.35,2.1,4,35,6,4,0.9,111,11,7,383,21,35,107,22,49,149,92,18,0
785,15,0.42,3.5,5,49,4,3,0.8,75,5,9,107,26,87,272,32,44,73,71,6,0
217,30,0.31,4.2,3,55,10,2,0.7,126,13,6,279,50,75,256,27,37,81,61,7,0
677,48,0.17,5.8,6,83,8,5,0.5,96,7,10,241,26,60,150,22,29,87,94,5,0
323,29,0.3,2,2,30,6,3,1,139,15,6,377,34,40,307,32,39,72,73,11,0
576,14,0.31,3.1,4,86,7,2,0.6,143,13,5,197,13,24,162,19,25,60,84,9,0
816,36,0.16,2.9,2,67,8,2,0.9,50,7,10,312,19,84,303,26,52,90,48,6,0
362,33,0.11,4.7,3,44,10,4,0.9,40,6,7,398,35,46,357,32,29,149,96,7,0
885,15,0.41,5.7,6,92,8,5,0.5,93,15,8,195,11,63,252,20,26,71,64,19,0
477,35,0.41,2.9,2,37,7,3,0.6,106,14,8,80,47,90,144,27,55,133,93,11,0
271,18,0.27,4.9,2,84,9,2,0.9,123,7,9,112,23,30,108,18,46,60,82,14,0
720,25,0.24,4.8,5,31,9,2,0.7,146,12,10,188,10,98,212,34,39,146,58,17,0
721,17,0.29,2.3,4,51,8,5,0.7,119,7,7,131,27,43,199,28,49,66,61,6,0
865,46,0.17,3.4,5,52,7,5,0.5,103,11,8,110,43,36,343,32,40,65,81,13,0
835,42,0.39,5.9,7,76,8,2,0.8,64,10,6,250,20,43,387,30,46,148,54,13,0
217,17,0.39,5,6,51,8,2,0.7,139,15,9,315,15,70,374,35,39,112,59,15,0
896,43,0.27,2.6,3,72,8,5,0.9,49,12,9,135,22,91,118,23,30,97,93,6,0
938,47,0.38,5.8,4,71,6,3,0.6,99,10,6,300,23,86,145,31,28,130,48,15,0
267,43,0.21,6,7,55,6,4,0.6,71,10,7,370,26,23,238,33,45,86,69,10,0
418,26,0.18,4.4,5,114,10,2,0.7,95,7,9,390,40,86,131,30,49,148,87,20,0
210,41,0.26,4.6,4,114,8,4,1,97,14,8,235,10,53,131,26,45,141,55,11,0
692,15,0.44,2.7,3,40,9,4,0.9,146,8,10,195,44,88,245,29,40,87,98,8,0
126,25,0.34,5.7,6,54,9,4,1,149,15,6,368,28,55,355,22,43,66,86,19,0
419,48,0.33,3.5,6,62,9,4,0.6,59,7,10,124,40,20,307,18,34,123,67,16,0
689,17,0.14,4.4,6,41,7,3,0.5,71,12,5,349,27,63,437,19,58,127,76,7,0
793,30,0.29,3.1,5,87,8,2,0.9,129,11,5,247,45,68,236,21,56,102,86,18,0
484,31,0.18,2.2,3,83,9,2,0.6,50,12,9,279,25,22,387,21,47,105,84,5,0
506,47,0.2,3.1,4,53,6,3,0.8,47,8,9,367,29,70,190,32,52,143,95,20,0
832,34,0.12,3.5,5,53,7,2,0.6,126,8,7,302,46,86,186,23,41,62,52,17,0
303,25,0.23,5.7,7,99,9,3,0.9,55,15,7,321,17,69,115,22,33,74,89,18,0
177,37,0.29,2.6,3,33,8,4,0.5,131,5,7,233,42,53,182,30,44,62,62,13,0
706,23,0.2,2.4,4,103,7,4,0.7,43,7,10,359,45,42,329,30,55,148,61,18,0
807,19,0.23,4.2,3,74,4,5,0.7,119,7,10,224,40,49,274,24,49,98,61,17,0
950,16,0.19,2.7,7,68,4,2,0.9,77,14,5,309,26,59,174,33,38,90,97,7,0
742,21,0.48,4.1,6,38,6,5,0.7,85,8,10,249,38,100,205,24,38,100,48,13,0
348,23,0.11,3.1,6,92,10,3,0.7,146,5,6,345,27,85,331,34,57,146,46,12,0
204,27,0.13,2.5,6,77,8,4,0.6,113,13,7,280,39,96,352,16,53,128,51,10,0
813,38,0.33,2.8,5,64,4,2,0.7,99,9,6,154,27,38,369,27,48,129,83,9,0
891,36,0.15,2.4,4,116,7,3,0.6,85,13,9,127,46,50,119,31,48,72,63,9,0
408,26,0.26,2.5,7,34,8,4,0.6,124,10,7,348,21,45,161,24,33,124,86,11,0
970,47,0.12,4.8,6,42,10,2,0.5,53,6,6,331,37,60,160,34,34,97,42,19,0
800,13,0.29,5.1,2,79,6,4,0.7,71,15,5,249,38,86,390,20,59,93,76,12,0
714,41,0.31,5.8,4,61,7,4,0.6,43,6,6,225,17,70,337,17,54,139,43,7,0
924,44,0.4,4.6,3,87,4,2,0.8,53,6,9,90,25,70,356,15,55,84,72,19,0
223,33,0.14,5.4,2,108,9,5,0.9,61,11,7,300,21,73,399,17,59,90,97,19,0
915,17,0.5,3.9,2,34,10,5,1,41,5,7,242,49,56,302,35,41,88,73,17,0
679,30,0.32,4.7,5,74,8,4,0.6,147,13,6,328,13,53,265,26,35,60,60,14,0
901,44,0.39,4.1,4,100,4,5,0.7,103,13,5,83,43,45,357,34,33,68,77,11,0
142,37,0.19,4.9,2,64,7,2,0.8,68,11,6,157,46,35,460,30,47,134,91,20,0
455,40,0.19,5.3,4,100,8,5,0.6,42,15,10,158,44,56,366,28,38,100,54,18,0
645,25,0.25,4.1,4,51,9,3,0.5,147,7,5,230,26,29,343,22,39,76,71,17,0
538,27,0.11,3,7,100,5,4,0.8,109,6,6,251,17,85,472,34,30,107,52,8,0
777,19,0.1,4.3,2,44,10,3,0.5,49,11,7,364,33,32,177,22,58,64,93,6,0
479,33,0.33,5.6,6,87,5,5,0.6,88,9,6,256,40,93,138,21,43,124,51,12,0
170,40,0.15,4.3,3,54,9,2,0.8,65,14,9,158,14,61,165,30,46,86,87,14,0
618,33,0.21,3.8,4,108,9,3,0.7,76,9,7,313,42,90,115,20,33,112,98,17,0
763,29,0.34,4.4,5,56,8,2,0.6,104,7,8,333,24,96,289,32,43,113,63,12,0
449,11,0.28,3.3,6,57,10,4,0.5,54,5,6,143,29,75,426,26,35,141,77,13,0
112,48,0.18,5.7,3,108,6,4,0.9,50,7,10,200,20,69,432,22,33,77,67,18,0
969,12,0.24,2.5,7,81,4,3,0.8,42,12,6,86,29,82,347,26,49,103,78,18,0
530,13,0.19,4,3,109,4,4,0.8,137,13,9,259,15,68,199,30,28,118,72,7,0
942,25,0.15,2.4,2,110,8,2,0.7,83,6,5,393,14,71,326,28,25,87,56,12,0
601,26,0.42,4.2,4,43,10,5,0.8,42,13,5,320,12,73,398,32,60,84,62,16,0
208,45,0.42,3.6,5,33,9,3,1,57,8,8,298,33,55,457,31,44,108,55,5,0
543,34,0.31,3.3,6,99,10,2,0.7,138,7,8,135,45,34,500,20,49,95,53,11,0
470,29,0.35,3.7,3,50,9,5,0.7,99,10,6,357,43,49,120,25,46,101,44,20,0
750,50,0.4,4.1,4,104,10,4,0.6,137,7,9,99,44,72,409,26,26,149,78,20,0
948,33,0.12,2.4,4,84,9,4,0.6,61,9,10,138,44,80,119,32,32,129,93,15,0
570,17,0.38,4.5,7,113,5,4,0.5,145,9,6,267,21,82,262,29,34,77,96,12,0
824,44,0.32,4.7,3,114,5,4,0.9,142,13,7,271,42,37,396,33,53,149,40,12,0
256,25,0.36,6,2,75,10,4,0.9,82,10,6,143,45,73,315,34,33,75,56,7,0
545,38,0.38,5.6,2,85,7,2,0.7,122,8,7,187,40,88,163,16,55,127,75,19,0
280,34,0.1,2,7,43,9,3,0.7,96,6,7,177,19,40,374,26,36,120,77,5,0
851,10,0.44,2.3,6,47,8,3,0.7,141,12,6,230,26,92,119,29,45,126,79,11,0
634,35,0.43,2.8,2,37,7,3,0.7,98,7,6,130,45,48,366,30,59,109,45,18,0
766,26,0.19,5.2,3,78,7,5,0.9,139,11,6,166,11,48,427,34,36,102,93,7,0
376,29,0.26,5.4,4,66,8,5,0.5,62,13,10,180,36,82,500,22,49,148,69,17,0
730,15,0.23,5.5,5,79,10,5,0.7,95,7,5,112,32,36,399,16,47,119,83,20,0
927,25,0.14,3.3,4,65,7,2,1,50,6,10,263,35,54,213,30,35,126,91,7,0
651,29,0.33,5.4,3,82,8,3,0.6,149,10,5,105,36,25,327,27,41,85,57,19,0
893,23,0.47,2.4,7,91,9,2,0.7,117,15,6,186,41,68,106,16,36,94,45,18,0
595,20,0.21,3.6,5,78,8,2,0.8,80,10,6,206,36,61,459,19,40,96,77,18,0
576,38,0.27,5.3,6,63,8,5,0.7,108,11,8,322,45,64,229,33,35,61,74,13,0
546,50,0.24,2.7,7,89,8,5,0.7,131,12,8,328,28,98,315,25,32,134,97,19,0
945,30,0.24,3.8,7,101,6,5,1,79,15,6,327,11,71,272,34,56,150,90,8,0
848,36,0.28,5.8,5,75,5,3,0.6,139,6,7,210,46,82,435,19,51,89,50,15,0
706,12,0.38,5.3,3,78,4,4,0.5,71,14,6,320,24,36,214,35,48,130,75,20,0
374,27,0.11,3.8,4,51,4,3,0.8,89,7,5,232,44,77,363,29,55,87,43,7,0
430,15,0.14,2.7,3,72,5,5,0.5,54,5,8,302,10,71,337,25,35,101,51,13,0
972,41,0.35,5.5,7,36,5,3,0.6,129,6,8,322,14,93,218,15,36,77,66,12,0
351,40,0.11,3.7,2,101,7,4,0.9,60,7,10,201,21,30,311,19,47,78,45,8,0
950,36,0.21,3.7,7,63,10,4,0.8,103,9,9,345,37,95,233,15,42,86,87,10,0
188,31,0.17,3.2,2,75,6,4,0.5,64,13,8,390,36,42,342,18,56,61,64,15,0
385,37,0.16,3.6,4,37,4,4,0.7,84,9,9,292,10,36,253,28,34,61,86,8,0
561,16,0.39,4,7,117,9,2,0.6,111,9,8,90,17,95,376,17,49,150,83,10,0
349,20,0.39,4.2,5,39,5,2,0.6,85,6,5,84,42,97,416,16,26,123,89,9,0
868,26,0.18,2.3,2,113,4,5,0.7,142,12,9,104,23,65,140,27,56,72,91,10,0
575,42,0.18,4.3,5,69,6,5,0.6,109,6,9,179,26,53,329,33,55,78,51,12,0
683,14,0.15,5.6,5,61,5,5,0.7,124,15,10,144,29,42,128,16,60,88,81,7,0
724,32,0.28,4.1,7,103,6,4,0.7,58,10,9,96,13,91,308,30,45,131,67,7,0
784,36,0.36,4.8,7,104,4,3,0.6,77,9,10,272,49,24,350,17,52,133,73,6,0
488,48,0.19,4.4,6,102,4,2,0.7,64,9,7,282,22,95,266,25,35,144,58,9,0
444,45,0.15,4.3,5,49,6,2,0.8,78,8,7,197,20,85,270,33,45,137,74,18,0
129,30,0.15,4.3,2,75,10,3,0.9,107,14,6,118,32,86,210,25,45,129,75,16,0
606,39,0.46,3.6,7,89,5,2,0.7,59,11,6,323,14,50,369,24,50,130,57,13,0
971,11,0.18,5.9,2,31,4,5,1,58,6,5,318,28,79,210,17,44,75,75,20,0
432,13,0.35,2.7,5,104,9,3,0.6,107,13,7,138,33,95,255,20,48,142,43,6,0
286,21,0.45,2.2,6,104,7,4,0.8,145,14,9,147,11,83,452,32,55,87,100,9,0
599,50,0.22,5.1,7,51,7,4,0.7,40,5,10,158,18,86,335,34,53,133,96,20,0
317,38,0.37,4.6,5,95,6,3,0.6,149,12,8,362,13,63,416,26,52,98,60,18,0
463,18,0.16,2.1,3,85,10,5,0.8,141,13,9,105,48,54,380,28,25,110,57,19,0
